areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,mapx,mapy,mlevel,modifiedtime,readcount,sigungucode,title,addr1,addr2,tel,zipcode,sigungu
33,A04,A0401,A04010200,1433504,38,20111110164944,,,127.4358669978,36.6278652990,6.0,20210408171750,10657.0,10.0,가경 터미널시장,충청북도 청주시 흥덕구 가경로149번길 24-2,,,28393,10
34,A05,A0502,A05020100,1797757,39,20130227105838,,,126.9189337881,36.2832456836,6.0,20200121102832,13013.0,6.0,가경식당,충청남도 부여군 부여읍 성왕로 286,,041-835-5338,33148,6
35,B02,B0201,B02011600,2465071,32,20161220100700,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2626200_image3_1.jpg,128.5178062368,36.5376120873,,20201127160439,6404.0,11.0,가경재 [한국관광 품질인증/Korea Quality],경상북도 안동시 풍천면 하회남촌길 69-5,,054-855-8552,36760,11
38,A01,A0101,A01011200,126273,12,20031107000000,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/1608017_image3_1.jpg,126.3547412438,34.4354594945,6.0,20200901162733,47243.0,21.0,가계해변,전라남도 진도군 고군면 신비의바닷길 47,(고군면),,58911,21
36,A02,A0203,A02030600,2019720,12,20150720180848,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/2033255_image3_1.jpg,128.5696552845,35.2077664004,6.0,20200522160052,8144.0,16.0,가고파 꼬부랑길 벽화마을,경상남도 창원시 마산합포구 성호서7길 15-8,(추산동) 일대,,51281,16
36,A05,A0502,A05020100,2572443,39,20181203145225,,,128.5064669527,34.7671312725,6.0,20200727105034,4.0,17.0,가고파식당,경상남도 통영시 한산면 한산일주로 856,,055-641-8388,53092,17
33,B02,B0201,B02010700,2571935,32,20181130132234,http://tong.visitkorea.or.kr/cms/resource/11/2570911_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2570911_image2_1.jpg,128.4094123770,37.0428882901,,20200423095433,0.0,2.0,가곡추억펜션(단양추억펜션),충청북도 단양군 가곡면 가대1길 55,,010-3789-7322,27021,2
3,A05,A0502,A05020100,1928589,39,20140627112119,,,127.3512700000,36.3890161659,6.0,20200210163107,3816.0,4.0,가나샤브샤브,대전광역시 유성구 신성로84번길 49,,042-862-9288,34116,4
1,A02,A0206,A02060500,129854,14,20071106013314,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/19/1570619_image3_1.jpg,126.9751811398,37.6122099878,6.0,20210319171012,41050.0,23.0,가나아트센터,서울특별시 종로구 평창30길 28,(평창동),,03004,23
31,A02,A0202,A02020700,129194,12,20060807000000,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/46/2010746_image3_1.jpg,126.9497496852,37.7254519094,6.0,20201204093813,29942.0,18.0,가나아트파크,경기도 양주시 장흥면 권율로 117,(장흥면),,11520,18
1,A04,A0401,A04010600,984586,38,20100324124214,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2634671_image2_1.jpg,126.9869342710,37.5619604852,6.0,20200225104701,11157.0,24.0,가나안경원 (명동2호점),서울특별시 중구 명동8가길 33,,,04537,24
37,A05,A0502,A05020100,1604693,39,20120417113103,,,127.3810351149,35.4044787030,6.0,20200701112503,6050.0,4.0,가나안식당,전라북도 남원시 관서당길 23,,063-632-5566,55775,4
3,A05,A0502,A05020500,250577,39,20071023000000,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/1944475_image3_1.jpg,127.3788898499,36.3853504089,6.0,20200210163152,32567.0,4.0,가남지,대전광역시 유성구 대덕대로 588,,042-861-7557,34121,4
6,A01,A0101,A01011600,129156,12,20060719000000,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/88/1982388_image3_1.jpg,128.8295937487,35.0006471157,6.0,20200525131532,46597.0,1.0,가덕도 등대,부산광역시 강서구 가덕해안로 1237,(대항동),,46771,1
2,A05,A0502,A05020100,597467,39,20080729104018,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1884774_image3_1.jpg,126.5998642696,37.4534884332,6.0,20200406110718,26516.0,10.0,가덕도횟집,인천광역시 중구 연안부두로 61,,032-882-8505,22348,10
31,A01,A0101,A01010400,125462,12,20030331000000,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/1900123_image3_1.jpg,127.5683098007,37.9202321907,6.0,20201117110650,25446.0,1.0,가덕산,경기 가평군 북면,", 강원도 춘천시 서면",,477-840,1
31,A05,A0502,A05020200,798518,39,20090907101546,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/1788152_image3_1.jpg,127.1740748223,37.5878830684,6.0,20210125134611,19813.0,9.0,가든갤러리,경기도 남양주시 강변북로632번길 57-28,,031-566-7777,12268,9
31,A05,A0502,A05020100,134960,39,20050328000000,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/1885112_image3_1.jpg,127.4733791122,37.2645370847,6.0,20200210163227,13748.0,26.0,가든이천공원,경기도 이천시 부발읍 경충대로2300번길 21-7,,031-636-9222,17327,26
1,A04,A0401,A04010600,732484,38,20090511144754,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/78/1920578_image3_1.jpg,127.1229354097,37.4770061292,6.0,20210419143036,16603.0,18.0,가든파이브 (Garden5),서울특별시 송파구 충민로 66,,,05838,18
1,A03,A0303,A03030400,131912,28,20070404000000,,,127.1317527340,37.5234203454,6.0,20200803163651,31047.0,2.0,가디언 클럽바다,서울특별시 강동구 강동대로53길 12,(성내동),02-474-4712,05408,2
36,A01,A0101,A01010400,127257,12,20031029000000,http://tong.visitkorea.or.kr/cms/resource/96/217696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/217696_image3_1.jpg,128.6303346514,34.7410502933,6.0,20201016094557,36945.0,1.0,가라산,경상남도 거제시 남부면 다대리,(남부면),,53322,1
33,A02,A0203,A02030400,2384364,12,20160519154336,,,127.5025247480,36.6336491638,6.0,20201215164647,2066.0,10.0,가락공방,충청북도 청주시 상당구 탑동로 95-5,(용담동),,28522,10
1,B02,B0201,B02010100,142785,32,20040426000000,,,127.1166298703,37.4966565128,6.0,20201111140225,34720.0,18.0,가락관광호텔,서울특별시 송파구 송파대로28길 5,(가락동),02-400-6641~3,05719,18
1,A04,A0401,A04010200,132215,38,20031117000000,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1920584_image3_1.jpg,127.1109831778,37.4960925880,6.0,20200624175039,53658.0,18.0,가락시장(가락농수산물 도매시장),서울특별시 송파구 양재대로 932,(가락동),"02-3435-1000, 0400",05699,18
37,B02,B0201,B02011600,2671267,32,20200908134549,,,127.1535667664,35.8173223769,,20200908140703,0.0,12.0,가락청,전라북도 전주시 완산구 한지길 68,(풍남동3가),,55041,12
33,A05,A0502,A05020100,2013680,39,20150706100209,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/31/2013731_image2_1.JPG,128.1772141504,36.9328993619,6.0,20200210163250,3771.0,7.0,가람,충청북도 제천시 수산면 월악로 2970,,043-651-2264,27220,7
31,B02,B0201,B02011600,2627867,32,20191021130426,,,126.6891949040,37.7547493903,,20201223164445,0.0,27.0,가람나무,경기도 파주시 소라지로327번길 126-21,(송촌동),,10863,27
38,A05,A0502,A05020100,2507936,39,20170102000035,,,127.6408868078,34.7715294549,6.0,20200210171420,933.0,13.0,가람복집,전라남도 여수시 화산로 20,,061-683-3559,59643,13
35,B02,B0201,B02011600,1865597,32,20131202091422,http://tong.visitkorea.or.kr/cms/resource/42/2579442_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/2579442_image3_1.jpg,128.5163479914,36.5390674494,6.0,20201202094406,16601.0,11.0,가람초연재[한국관광 품질인증/Korea Quality],경상북도 안동시 풍천면 하회종가길 76-6,(풍천면),054-853-4828,36760,11
1,A02,A0206,A02060500,129898,14,20071106013446,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/1394214_image3_1.jpg,126.9856034879,37.5742756967,6.0,20201231113014,18656.0,23.0,가람화랑,서울특별시 종로구 인사동10길 11,(관훈동),,03146,23
38,A05,A0502,A05020900,2640274,39,20191211141235,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2640285_image2_1.jpg,127.2985233231,35.2825271685,6.0,20200210171404,0.0,3.0,가랑드,전라남도 곡성군 곡성읍 읍내18길 6,,061-363-0865,57535,3
32,A01,A0101,A01010800,125658,12,20030806000000,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/1842055_image3_1.jpg,128.1601919204,37.8328951114,7.0,20201029094704,29420.0,16.0,가령폭포,강원 홍천군 내촌면 와야리,,,250-863,16
1,B02,B0201,B02011100,2607436,32,20190620132319,,,127.0211100644,37.5220851756,,20201020112200,0.0,1.0,가로수,서울특별시 강남구 강남대로162길 41-22,"(신사동,오로라빌)",070-8638-2717,06028,1
1,B02,B0201,B02011100,2608451,32,20190628152655,,,127.0238681004,37.5237378109,,20200318111311,0.0,1.0,가로수길 홈스테이,서울특별시 강남구 압구정로18길 14-12,"(신사동,우찬아파트)702호",010-3718-5743,06029,1
31,A02,A0203,A02030100,1553085,12,20120215150046,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2480263_image2_1.jpg,127.6140193424,37.4517346633,6.0,20201217132650,18204.0,19.0,가루매마을,경기도 양평군 지평면 부일길 101,(지평면),,12544,19
39,B02,B0201,B02010700,1896032,32,20140218153733,,,126.5123383804,33.2365870334,6.0,20200907174539,6701.0,3.0,가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10,(법환동),064-739-4499,63573,3
32,B02,B0201,B02010700,2571998,32,20181130155923,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,http://tong.visitkorea.or.kr/cms/resource/37/2571137_image2_1.jpeg,128.3383767680,38.0731872541,,20200921100418,0.0,10.0,가리벨리 관광펜션(가리벨리관광펜션휴양타운),강원도 인제군 인제읍 대목리길 137,,010-8211-8877,24643,10
31,A01,A0101,A01010400,125463,12,20030725000000,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1900129_image3_1.jpg,127.4028046120,38.0433008935,6.0,20201117110511,30062.0,29.0,가리산(포천),경기도 포천시 이동면 장암리,,,11111,29
32,A01,A0101,A01010400,125593,12,20030327000000,http://tong.visitkorea.or.kr/cms/resource/86/609386_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/86/609386_image3_1.jpg,127.9566453426,37.8716589858,6.0,20201029141626,43014.0,16.0,가리산(홍천),강원도 홍천군 두촌면 가리산길 260-9,(두촌면),,25164,16
32,A03,A0302,A03022700,789501,28,20090827174701,http://tong.visitkorea.or.kr/cms/resource/83/609383_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/609383_image3_1.jpg,127.9987281462,37.8544701092,6.0,20200814101149,21307.0,16.0,가리산(홍천) 등산로,강원도 홍천군 두촌면 가리산길 260-9,,,25164,16
32,A05,A0502,A05020100,608471,39,20080812153515,http://tong.visitkorea.or.kr/cms/resource/30/610830_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/610830_image3_1.jpg,128.0138244871,37.8381278478,6.0,20210128113703,16005.0,16.0,가리산막국수,강원도 홍천군 두촌면 가리산길23번길 7,,033-435-2704,25164,16
32,A01,A0101,A01010600,126905,12,20030616000000,http://tong.visitkorea.or.kr/cms/resource/94/609394_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/609394_image3_1.jpg,127.9795073354,37.8656156746,6.0,20200901151251,74197.0,16.0,가리산자연휴양림,강원도 홍천군 두촌면 가리산길 426,(두촌면),,25164,16
32,A01,A0101,A01010400,127508,12,20031209000000,http://tong.visitkorea.or.kr/cms/resource/87/1690887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/1690887_image3_1.jpg,128.5634777835,37.4618262980,6.0,20210401103615,46984.0,11.0,가리왕산,강원도 정선군 정선읍 가리왕산로 707,"(가리왕산자연휴양림), 평창 진부면",,26119,11
32,B02,B0201,B02010700,582215,32,20080702092139,http://tong.visitkorea.or.kr/cms/resource/09/582509_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/582509_image3_1.jpg,128.5773915547,37.4241170266,6.0,20200924171621,28161.0,11.0,가리왕산이야기 펜션,강원도 정선군 정선읍 청량길 32,,033-562-1665,26119,11
1,A05,A0502,A05020100,2685271,39,20201124122606,http://tong.visitkorea.or.kr/cms/resource/54/2684754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2684754_image2_1.jpg,127.1427398175,37.5517283673,6.0,20210315095548,0.0,2.0,가마골,서울특별시 강동구 고덕로38길 63,,02-3426-6460,05257,2
38,A01,A0101,A01010900,127423,12,20030925000000,http://tong.visitkorea.or.kr/cms/resource/13/824513_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/824513_image3_1.jpg,127.0227046757,35.4451873670,7.0,20210108133402,89406.0,7.0,가마골계곡,전라남도 담양군 용면 용소길 261,,,57300,7
31,A05,A0502,A05020100,2525533,39,20171226100132,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2525527_image2_1.jpg,126.9712897230,37.7135870113,6.0,20210125134109,1259.0,18.0,가마골백숙,경기도 양주시 장흥면 북한산로 1028,,031-861-4800,11523,18
38,A01,A0101,A01010500,2014192,12,20150707140103,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/1941029_image3_1.jpg,127.0227796727,35.4450484951,6.0,20200911162023,7720.0,7.0,가마골생태공원,전라남도 담양군 용면 용소길 261,,,57300,7
1,A05,A0502,A05020100,2682774,39,20201116153146,http://tong.visitkorea.or.kr/cms/resource/38/2682638_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/38/2682638_image2_1.jpg,126.9172780766,37.5142453371,6.0,20210326104216,0.0,20.0,가마로강정 신길삼거리,서울특별시 영등포구 영등포로64길 11,,02-849-9288,07317,20
1,A05,A0502,A05020100,1953272,39,20141001104426,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/46/1953246_image2_1.JPG,126.9838371210,37.5693679015,6.0,20200210171337,4314.0,23.0,가마목,서울특별시 종로구 종로8길 16,,02-737-4987,03189,23
38,A01,A0101,A01011200,126289,12,20030707000000,http://tong.visitkorea.or.kr/cms/resource/54/189654_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/189654_image3_1.jpg,126.4090769892,35.3997293920,6.0,20200630142742,56445.0,16.0,가마미해수욕장,전라남도 영광군 홍농읍 가마미로 355,,061-353-3701~5,57000,16
37,A01,A0101,A01010900,1625067,12,20120508160149,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/1604272_image3_1.jpg,126.6241097681,35.6549789979,6.0,20200831100644,24375.0,6.0,가마소계곡,전라북도 부안군 상서면 청림리,,,56343,6
36,A05,A0502,A05020100,2577474,39,20181213094551,,,128.6074567052,34.8227324288,6.0,20200210171323,13.0,1.0,가마솥국밥,경상남도 거제시 동부면 동부로 2,,055-632-5363,53331,1
38,A05,A0502,A05020100,2688186,39,20201127151814,http://tong.visitkorea.or.kr/cms/resource/58/2701458_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2701458_image2_1.jpg,126.3629482568,34.6944583177,6.0,20210312163514,0.0,23.0,가마솥나주곰탕,전라남도 해남군 산이면 관광레저로 1737,,061-537-5205,59015,23
36,A05,A0502,A05020100,2577481,39,20181213095917,,,128.6269535524,34.8777016369,6.0,20200520164851,21.0,1.0,가마솥보리밥,경상남도 거제시 거제중앙로5길 18,"(고현동),1층",055-637-8819,53258,1
32,A05,A0502,A05020100,2685456,39,20201124163219,http://tong.visitkorea.or.kr/cms/resource/74/2684774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2684774_image2_1.jpg,128.8928614400,37.7541960969,6.0,20210312100246,0.0,1.0,가마솥설렁탕,강원도 강릉시 임영로140번길 7,,033-646-2009,25533,1
2,A05,A0502,A05020100,135696,39,20070613000000,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/1873754_image3_1.jpg,126.6832460000,37.4373973287,6.0,20200714171320,22898.0,3.0,가마솥손두부,인천광역시 미추홀구 소성로326번길 4,,032-426-7270,22238,3
3,A05,A0502,A05020100,2580070,39,20181218174114,,,127.4091638480,36.3225192456,6.0,20200715173114,10.0,5.0,가마솥집,대전광역시 중구 계백로 1709-20,(오류동),042-534-4866,34909,5
36,A05,A0502,A05020100,2575770,39,20181210132521,,,128.6025209409,35.3443933111,6.0,20200715161252,13.0,16.0,가마솥추어탕,경상남도 창원시 의창구 북면 천주로 1019-22,1층,055-298-1115,51103,16
35,A05,A0502,A05020100,2689524,39,20201130170100,http://tong.visitkorea.or.kr/cms/resource/72/2684372_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2684372_image2_1.jpg,128.7575483280,36.5550201560,6.0,20210312123659,0.0,11.0,가마숯불식육,경상북도 안동시 경동로 944,,054-821-7473,36724,11
39,A01,A0101,A01010400,1884191,12,20140113094533,,,126.2470543070,33.3056418997,6.0,20201221162003,2865.0,4.0,가마오름,제주특별자치도 제주시 한경면 청수서5길,(한경면) 일원,,63006,4
7,A05,A0502,A05020100,2572145,39,20181203104547,,,129.2254153590,35.5859276589,,20200210171159,5.0,5.0,가마정,울산광역시 울주군 범서읍 사일길 281,,052-212-3355,44918,5
5,A05,A0502,A05020300,728386,39,20090427131226,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/1892774_image3_1.jpg,126.8838215936,35.1525153326,6.0,20200210101524,25348.0,5.0,가매일식,광주광역시 서구 상무대로 1104-26,,062-352-7711,61981,5
39,A01,A0101,A01010400,1884202,12,20140113104252,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1884201_image2_1.jpg,126.2460707194,33.3209235283,6.0,20201224145535,2513.0,4.0,가메창(암메),제주특별자치도 제주시 한경면 청수로 13-3,,064-728-2742,63006,4
36,A02,A0203,A02030100,128498,12,20050512000000,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/48/2629048_image2_1.bmp,128.0324121006,35.2586565930,6.0,20210305160354,19783.0,13.0,가뫼골마을,경상남도 진주시 명석면 관덕길 174,(명석면),,52641,13
34,A02,A0208,A02080100,1258353,15,20110418095420,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,126.8997016069,36.3048428766,6.0,20210226112411,56458.0,6.0,가무악극으로 만나는 토요 상설공연,충청남도 부여군 규암면 백제문로 388,,041-832-5765,33115,6
1,A05,A0502,A05020400,1052741,39,20100630171221,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/1181034_image3_1.jpg,127.0226983297,37.6368246468,6.0,20200210171151,18782.0,3.0,가문,서울특별시 강북구 노해로 13,,02-990-0107,01080,3
39,A01,A0101,A01010400,1884505,12,20140114102329,,,126.7403699255,33.4241699560,6.0,20201224145454,2174.0,3.0,가문이오름(감은이오름),제주특별자치도 서귀포시 표선면 가시리 산,(표선면) 일대,,63623,3
39,A05,A0502,A05020100,2650410,39,20200326113220,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2666377_image2_1.jpg,126.5732606548,33.2465785631,6.0,20210309152951,0.0,3.0,가문잔치,제주특별자치도 서귀포시 칠십리로 191,,064-732-9886,63597,3
1,A05,A0502,A05020100,2685272,39,20201124122829,http://tong.visitkorea.or.kr/cms/resource/85/2684785_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2684785_image2_1.jpg,126.9459519870,37.5587101279,6.0,20210315095642,0.0,14.0,가미분식,서울특별시 서대문구 이화여대8길 2,,02-364-3948,03767,14
1,A05,A0502,A05020300,2679033,39,20201027115659,http://tong.visitkorea.or.kr/cms/resource/64/2676864_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/64/2676864_image2_1.jpg,126.9238735556,37.5547407496,6.0,20210311115151,0.0,13.0,가미우동,서울특별시 마포구 홍익로2길 23,,02-322-3302,04055,13
7,A05,A0502,A05020100,2573961,39,20181205142333,,,129.3541716083,35.5567611393,,20200210171143,6.0,4.0,가미횟집,울산광역시 북구 명촌23길 53,(명촌동),052-288-8812,44254,4
31,B02,B0201,B02010900,1781984,32,20130117140401,,,127.1388777598,37.5972257905,6.0,20201109164325,17810.0,6.0,가바나모텔,경기도 구리시 안골로 70,,031-563-0444<br />031-563-9779,11933,6
36,A02,A0201,A02010200,127268,12,20040119000000,,,128.5722052958,34.7817585943,6.0,20200114173044,24264.0,1.0,가배량성,경상남도 거제시 동부면 가배리,,,53330,1
32,A05,A0502,A05020100,2680928,39,20201109135133,,,128.3683603247,37.6109525662,6.0,20201109135133,0.0,15.0,가벼슬,강원도 평창군 봉평면 이효석길 118-8,,033-336-0609,25304,15
2,A05,A0502,A05020400,600680,39,20080731164818,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/1884871_image3_1.jpg,126.7340169236,37.5172167289,6.0,20200403164351,14699.0,6.0,가보,인천광역시 부평구 평천로 394,,032-512-8552,21323,6
31,A05,A0502,A05020100,811327,39,20090928100607,,,127.0930338609,37.3330083993,6.0,20210311094000,19764.0,23.0,가보정 4관,경기도 용인시 수지구 수풍로 103,,031-276-3880,16821,23
31,B02,B0201,B02010100,143017,32,20030806000000,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/1942883_image3_1.jpg,127.1128582139,36.9932008224,6.0,20200211173317,23562.0,28.0,가보호텔,경기도 평택시 평택5로76번길 18-10,,031-658-7700,17885,28
36,A05,A0502,A05020100,1953998,39,20141006114053,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/1953396_image3_1.jpg,128.0583572879,34.9315021428,6.0,20200727093617,4437.0,8.0,가빈,경상남도 사천시 각산로 150,,055-835-8755,52555,8
38,A01,A0101,A01011300,578400,12,20080623102244,,,126.0510003156,34.4789302819,9.0,20201230094742,28282.0,21.0,가사도,전라남도 진도군 조도면 가사도길 106,,,58953,21
38,A01,A0101,A01011600,129141,12,20060712000000,,,126.0429125538,34.4611877004,6.0,20210322135819,22611.0,21.0,가사도 등대,전라남도 진도군 조도면 가사도돌목길,,,58953,21
38,A01,A0101,A01011200,2615324,12,20190814162008,,,126.9279341401,34.3708344605,6.0,20201224145734,0.0,18.0,가사동백숲해변,전라남도 완도군 약산면 가사길 62,,,59136,18
38,A01,A0101,A01011200,1916695,12,20140428142048,,,126.9281702396,34.3704872810,6.0,20200630095420,2285.0,18.0,가사해수욕장,전라남도 완도군 약산면 가사길,,,59136,18
